"movieid";"rank";"votes";"distribution"
1762161;"5.0";2514;"0001111000"
1762174;"7.8";182305;"0000001221"
1762229;"8.0";37461;"0000001222"
1762644;"6.4";316;"0000011112"
1762654;"6.8";5140;"0000012101"
1762853;"7.8";19312;"0000001311"
1763019;"4.9";5033;"0000111101"
1763083;"5.6";4881;"1000111101"
1763465;"8.1";99495;"0000001222"
1763653;"6.1";20539;"0000122000"
1763877;"5.8";2569;"0000121001"
1763883;"5.9";1519;"0000111101"
1763910;"7.0";33786;"0000012211"
1763974;"7.1";4493;"0000011211"
1764861;"6.7";3024;"0000012211"
1765082;"6.1";4823;"0000122100"
1765108;"5.6";1952;"0000121100"
1765164;"7.4";35867;"0000002211"
1765347;"4.3";1059;"0011210000"
1765652;"6.1";3302;"0000122100"
1765787;"4.8";83;"1002000000"
1765789;"6.6";314;"0000011112"
1765811;"7.1";24708;"0000012211"
1765827;"6.0";4793;"0000111101"
1766407;"5.3";40466;"0001221000"
1766427;"5.2";21432;"0001111000"
1766668;"3.4";355;"1120100000"
1766849;"6.4";3355;"0000022100"
1766884;"7.2";12;"1..0..0032"
1767110;"7.3";5386;"0000002211"
1767151;"4.2";2769;"1011110000"
1767537;"6.4";675;"0000112101"
1768211;"7.3";2341;"0000001211"
1768389;"6.5";54914;"0000012101"
1768698;"7.2";99583;"0000013210"
1769145;"4.1";2984;"0011210000"
1769408;"6.2";106610;"0000122100"
1769516;"6.1";54;"..00222000"
1769766;"4.8";46377;"0001211000"
1769840;"7.2";9273;"0000012211"
1770285;"7.2";60989;"0000012211"
1770807;"5.1";675;"0001211000"
1771528;"6.3";72446;"0000122101"
1771672;"4.2";125;"1101010001"
1771673;"6.7";2683;"0000011112"
1772092;"4.0";16672;"1011110001"
1772497;"4.5";109;"01001100.2"
1772500;"5.7";21309;"0000221000"
1772651;"7.1";13049;"0000012211"
1772934;"6.6";4983;"0000011112"
1773358;"6.9";17490;"0000012211"
1773436;"7.3";510;"0000001113"
1773944;"6.3";4755;"0000112101"
1774349;"5.0";4930;"0001211000"
1775245;"5.9";21681;"0000122100"
1775382;"7.7";594;"0.00001212"
1775747;"6.5";2664;"0000022101"
1775854;"7.0";5159;"0000013200"
1776052;"7.0";126203;"0000013200"
1776063;"8.3";305842;"0000001222"
1776173;"5.5";6151;"0001121000"
1776338;"4.7";9854;"0001211000"
1776407;"6.4";35339;"0000122100"
1776556;"7.7";66316;"0000001212"
1776732;"4.8";9756;"0001211000"
1776893;"5.7";12279;"0000121000"
1777297;"6.0";4992;"0000132100"
1777374;"5.8";1282;"0000111101"
1777932;"4.1";1112;"0111100000"
1778025;"4.6";3088;"0011110001"
1778258;"7.7";47448;"0000002311"
1778411;"6.0";6047;"0000122000"
1778413;"6.0";3196;"0000111101"
1778514;"6.2";1048;"0000122100"
1778536;"5.4";847;"0000111100"
1778697;"6.5";36367;"0000012101"
1778699;"4.4";1784;"0011110000"
1779176;"6.0";17235;"0000122100"
1779201;"7.6";28377;"0000001211"
1779349;"5.8";7184;"0000122100"
1779361;"7.4";3080;"0000012311"
1779474;"5.6";2755;"0000121101"
1779528;"5.0";1715;"0001211000"
1779735;"6.4";3914;"0000122100"
1779757;"6.0";43673;"0000122100"
1779835;"7.8";88851;"0000001211"
1779868;"6.5";5942;"0000012200"
1779914;"6.0";924;"0000122000"
1780022;"4.6";18149;"0011111000"
1780595;"6.9";9565;"0000012211"
1780992;"6.6";1042;"0000012100"
1781241;"7.3";16965;"0000012211"
1781274;"5.1";2125;"0001211000"
1781295;"4.8";4238;"0001111000"
1781303;"5.8";10065;"0000122000"
1781518;"4.9";4068;"0001221000"
1781597;"6.9";31067;"0000013200"
1781603;"5.8";13;".0.201300."
1783029;"8.0";59552;"0000001311"
1783282;"7.9";127046;"0000001211"
1783500;"5.1";14442;"0001221000"
1783641;"6.0";1580;"0000122100"
1783685;"4.9";4872;"0001111000"
1783892;"5.0";7806;"0001211000"
1784129;"3.9";184;"2001000001"
1784206;"4.5";1106;"1011211000"
1784275;"7.5";5457;"0000002211"
1784416;"5.6";923;"0000121100"
1784877;"7.1";36112;"0000012211"
1785170;"7.4";30866;"0000012211"
1785251;"7.7";16846;"0000001212"
1785265;"7.2";2567;"0000013211"
1785529;"6.3";44883;"0000122100"
1785755;"4.2";7323;"1011110000"
1786099;"4.5";2512;"0011110000"
1786124;"7.5";55962;"0000002211"
1786136;"6.7";335;"0000011101"
1786142;"6.9";354;"0000001211"
1786183;"5.0";10332;"0001111000"
1786236;"6.0";7566;"0000122101"
1786413;"4.2";3054;"1011110000"
1786566;"7.5";57682;"0000001212"
1786921;"7.0";12514;"0000012211"
1787090;"8.4";449005;"0000001223"
1787149;"8.0";111903;"0000001222"
1787511;"7.8";77145;"0000001211"
1787525;"4.4";5886;"1011110001"
1787603;"7.6";12788;"0000001211"
1787911;"7.8";34110;"0000001222"
1788154;"4.8";95;"0101111000"
1788165;"5.5";4851;"0001121000"
1788314;"4.4";613;"1011110000"
1788621;"5.2";26790;"0001111000"
1788624;"7.9";22843;"0000001212"
1788628;"6.0";6487;"0000122100"
1788636;"3.7";4159;"1111100001"
1788817;"8.1";19409;"0000001222"
1789015;"6.6";2017;"0000012200"
1789145;"5.8";50412;"0000121100"
1789259;"6.8";42145;"0000012210"
1789269;"8.0";33442;"0000001212"
1789511;"5.8";391;"0000222000"
1789692;"7.1";15749;"0000012210"
1789747;"6.4";426;"0000012111"
1789910;"6.2";14414;"0000122100"
1790007;"5.9";59388;"0000122100"
1790082;"6.4";512;"0000012101"
1790311;"6.4";467;"0000012201"
1790523;"6.0";5956;"0000122100"
1790530;"8.0";28290;"0000001212"
1790753;"6.9";189;"0000011112"
1790780;"7.0";42;"1.001001.4"
1790984;"6.6";103;"0..0012211"
1791085;"5.7";675;"0000121000"
1792102;"6.1";663;"0000122100"
1792218;"7.3";8098;"0000001212"
1792281;"6.7";1527;"0000012211"
1792349;"4.7";1664;"0001210000"
1792363;"6.1";716;"0000111111"
1792523;"7.4";9642;"0000002211"
1792625;"7.3";26967;"0000001211"
1792713;"5.4";23829;"0001121000"
1793297;"7.0";26265;"0000012211"
1793433;"5.6";21657;"0000121000"
1793451;"7.4";21812;"0000012211"
1793604;"6.8";17976;"0000012211"
1794215;"7.6";2376;"0000001212"
1794255;"4.5";2413;"0001210000"
1794772;"6.1";4004;"0000122100"
1795157;"5.1";3341;"0001111001"
1795427;"5.7";1377;"0000222000"
1795631;"6.2";14234;"0000012101"
1795698;"8.2";95944;"0000001321"
1795997;"6.3";1337;"0000112101"
1796704;"5.8";3365;"0000122100"
1796731;"7.0";181;"0000011201"
1797310;"5.9";134;"0000001112"
1797365;"8.7";136210;"0000000123"
1797386;"7.5";20362;"0000001211"
1798275;"7.7";26890;"0000001212"
1798372;"4.6";5722;"1001111001"
1798632;"7.2";56694;"0000012211"
1799339;"4.7";1509;"0001211000"
1799603;"5.3";42;"200.011002"
1801311;"6.3";28424;"0000122101"
1801574;"5.8";11157;"0000121100"
1801936;"6.4";2030;"0000122101"
1802055;"6.5";35320;"0000122100"
1802058;"4.9";5228;"0001211000"
1802287;"5.1";5011;"0001111000"
1802676;"7.7";15219;"0000002311"
1802677;"7.3";89156;"0000013210"
1803115;"7.3";3668;"0000012211"
1803357;"6.1";1460;"0000122101"
1803905;"7.0";3020;"0000012210"
1803921;"6.9";1130;"0000011211"
1804232;"7.9";112624;"0000002311"
1804427;"7.2";827;"0000011212"
1804484;"7.5";179;"0000001112"
1804630;"6.9";6200;"0000012200"
1804779;"7.4";16711;"0000002310"
1804898;"7.0";9577;"0000012211"
1804923;"3.3";2401;"2111000000"
1804924;"2.8";1152;"2111000000"
1804925;"2.5";1233;"3110000001"
1804947;"7.0";3778;"0000012211"
1805163;"4.6";2840;"0011210000"
1805225;"7.4";75305;"0000012211"
1805246;"6.3";1093;"0000122100"
1805273;"6.6";3534;"0000012111"
1805799;"8.7";262396;"0000000123"
1806151;"8.2";202168;"0000001322"
1806217;"5.8";55526;"0000121000"
1806794;"6.8";7735;"0000012210"
1806845;"5.9";10029;"0000122100"
1806896;"8.0";24124;"0000001322"
1806914;"6.0";11558;"0000122100"
1807303;"6.3";379;"0000001111"
1807444;"6.7";3920;"0000012102"
1807562;"6.5";747;"0000012211"
1807604;"4.8";549;"0001111000"
1807863;"6.2";1766;"0000122100"
1808298;"5.9";9343;"0000112101"
1808524;"6.2";15076;"0000122100"
1808813;"4.9";6672;"0001211000"
1809047;"6.3";11718;"0000011101"
1809149;"7.9";22703;"0000001213"
1809197;"6.3";217;"0000121101"
1809431;"6.1";667;"0000112101"
1809724;"6.5";1389;"0000012101"
1809864;"6.8";2318;"0000012210"
1809984;"5.4";29798;"0001221000"
1809998;"6.0";2856;"0000122100"
1810092;"2.1";4045;"5100000001"
1810470;"5.7";938;"0000231000"
1811382;"6.1";2459;"0000122100"
1811626;"8.0";34063;"0000001322"
1811722;"7.2";26382;"0000012211"
1812202;"6.5";429;"0000112101"
1812255;"6.8";9491;"0000023101"
1812339;"7.4";37;"00.00.1301"
1812450;"4.7";3502;"0001211000"
1812490;"7.3";87706;"0000012211"
1813663;"5.7";476;"0000121101"
1815267;"7.1";92173;"0000013210"
1815901;"6.4";40193;"0000122100"
1815914;"5.3";19622;"0001221000"
1815915;"4.6";15134;"0011210000"
1816153;"7.0";8571;"0000013210"
1816171;"5.4";22293;"0001121000"
1816175;"3.8";4210;"1111100000"
1816176;"3.5";3783;"1111100000"
1816182;"6.0";2073;"0000122000"
1816238;"5.9";1797;"0000112100"
1816379;"4.9";7104;"0001221000"
1816691;"8.4";137613;"0000001222"
1816742;"6.1";2258;"0000122100"
1817535;"4.4";156;"0001210001"
1817898;"5.3";3714;"0001111000"
1818342;"6.5";33678;"0000122100"
1818562;"7.4";67624;"0000012212"
1819155;"6.4";3934;"0000012110"
1819411;"8.0";26839;"0000001222"
1819870;"7.6";1125;"0000001212"
1820147;"6.6";5;"....422..2"
1820288;"6.0";2205;"0000122100"
1820400;"7.3";60044;"0000012211"
1821008;"6.4";5674;"0000022100"
1821229;"5.6";1698;"0000121100"
