"movieid";"writerid";"addition"
1714481;200336;"(from the novel by) (as Detective Ashelbe)  <3,1,1>"
1714481;206004;"(screenplay)  <1,1,1>"
1714991;14988;"(writer)"
1714991;360124;"(writer)"
1714991;372133;"(writer)"
1715025;20702;"(story)  <2,1,6>"
1715025;56491;"(adaptation: of ""The Adventures of Alice in Wonderland"" and ""Through the Looking Glass"") (as Lewis Carrol)  <1,1,1>"
1715025;70892;"(story)  <2,1,11>"
1715025;74052;"(story) (as Bill Cottrell)  <2,1,7>"
1715025;137193;"(story)  <2,1,9>"
1715025;156788;"(story)  <2,1,1>"
1715025;164137;"(story)  <2,1,10>"
1715025;166061;"(uncredited)"
1715025;185661;"(story)  <2,1,8>"
1715025;272569;"(story)  <2,1,12>"
1715025;281909;"(story)  <2,1,3>"
1715025;282661;"(story)  <2,1,4>"
1715025;306297;"(story)  <2,1,5>"
1715025;329602;"(story)  <2,1,2>"
1715025;384343;"(story)  <2,1,13>"
1715186;267997;"(screenplay)  <2,1,1>"
1715186;267997;"(story)  <1,1,1>"
1715186;336391;"(story)  <1,2,1>"
1715253;15007;""
1715288;267998;"(written by)  <1,1,1>"
1715380;267997;"(characters)  <1,1,1>"
1715380;336391;"(characters)  <1,2,1>"
1715380;391197;"(written by)  <2,1,1>"
1715404;52775;"(screenplay)  <3,1,1>"
1715404;52775;"(story)  <1,1,1>"
1715404;129944;"(story)  <1,2,1>"
1715404;157707;"(story)  <1,2,2>"
1715404;267997;"(characters)  <2,1,1>"
1715404;336391;"(characters)  <2,2,1>"
1715607;300733;"(book)  <1,1,1>"
1715607;332970;"(screenplay)  <2,1,1>"
1715793;200006;"(dialogue: German version) (uncredited)"
1715793;227042;"(written for the screen by)  <1,1,1>"
1715793;273006;"(story ""The Wisdom of Eve"") (uncredited)"
1716019;35944;"(story)  <1,1,1>"
1716019;76084;"(story)  <1,1,2>"
1716019;133044;"(story)  <1,1,3>"
1716019;209447;"(story)  <1,1,4>"
1716019;246058;"(story)  <1,1,5>"
1716019;278576;"(story)  <1,1,6>"
1716019;290118;"(story)  <1,1,7>"
1716019;336292;"(story)  <1,1,8>"
1716019;349297;"(story) (as David Steinberg)  <1,1,9>"
1716019;389359;"(screenplay)  <2,1,1>"
1716019;389359;"(story)  <1,1,10>"
1716020;271649;"(screenplay)  <2,1,1>"
1716020;386352;"(screenplay)  <2,2,1>"
1716020;386352;"(story)  <1,1,2>"
1716020;402343;"(screenplay)  <2,2,2>"
1716020;402343;"(story)  <1,1,1>"
1716411;336597;"<1,1,1>"
1716452;363;"(screen play)  <3,1,1>"
1716452;9438;"(adaptation & dialogue)  <2,1,1>"
1716452;9988;"(adaptation)  <4,1,1>"
1716452;11006;"(titles for silent version)  <6,1,1>"
1716452;245386;"(uncredited)  <7,1,1>"
1716452;302778;"(by)  <1,1,1>"
1716452;354125;"(supervising story chief)  <5,1,1>"
1716615;16059;"(written by)  <1,1,1>"
1716615;116960;"(written by)  <1,2,1>"
1717077;313222;"(written for the screen by)  <2,1,1>"
1717077;386867;"(Pulitzer Prize novel ""All the King's Men"")  <1,1,1>"
1717117;301084;"(screenplay)  <1,1,1>"
1717144;177925;""
1717455;144837;"(novel ""Allan Quatermain"")  <1,1,1>"
1717455;296251;"(screenplay)  <2,1,1>"
1717455;303980;""
1717910;283454;"(story)  <2,2,1>"
1717910;324324;"(screenplay)  <1,1,1>"
1717910;324324;"(story)  <2,1,1>"
1718318;76496;"(written by)  <1,1,1>"
